,hash,date,files,deletions,insertions,lines,is_reverted,changes_in_30_days
263,5a56ed57cdaba16f357ba2c8d67735ad84822480,2023-04-28 05:10:23+00:00,1,2,5,7,0,13
264,34d22832143b06e36286ab637942eb983dbfb75c,2023-04-28 05:13:24+00:00,4,0,32,32,0,2
265,3e5007057527783d47ede5c0102ea61da702323d,2023-04-28 05:33:23+00:00,1,7,7,14,0,4
266,3d39a50170ce0ee989f7ba08afc58abf0184cc26,2023-04-28 06:52:14+00:00,1,0,8,8,0,1
267,c87f14ca8119d6ad14d0abc2be64fa89a58d561e,2023-04-28 08:44:10+00:00,1,4,5,9,0,2
268,8b37e477c33e18b11480b69cc277a6ebd0c8a187,2023-04-28 11:18:19+00:00,13,1,302,303,0,5
270,c17e941ac4dd3277ef5bab0f3924b7d4d358d279,2023-04-28 14:17:36+00:00,1,1,5,6,0,9
272,c8281cdad0f8721a21db975bfbccb4ff4bdd31ae,2023-04-29 02:02:40+00:00,5,45,25,70,0,110
274,f496d39514256c3ddcf2fe711c2a31b53549f94a,2023-04-29 13:58:38+00:00,2,2,2,4,0,18
275,f1f02fd0cfedb82cfe92b9e0ae68d990c5cef034,2023-04-29 15:41:51+00:00,2,3,10,13,0,24
276,1ebbb2e5eddfcbc397429e7db75b0caec1a61244,2023-04-30 03:42:33+00:00,3,0,41,41,0,3
278,39fcf6b10839b05aa0be3ab7ee8f7015173b5113,2023-04-30 09:07:49+00:00,3,4,12,16,0,43
280,9bee15cad7b57997c75b5236c6a0c6f6a612fa67,2023-05-02 01:50:42+00:00,2,0,6,6,0,0
281,9d639e6e5d664970c8c960711ee950ad046c9d82,2023-05-02 01:51:04+00:00,4,16,26,42,0,49
284,8660607be857b461bd0d251d21ccd5a080a62405,2023-05-02 03:14:23+00:00,1,0,8,8,0,11
285,5778cb7a18f8c913f06553a42da325a0108d54a4,2023-05-02 03:15:45+00:00,1,11,13,24,0,5
286,9b3c829e2c429b87e119d139b3494eb3318f4c3a,2023-05-02 03:16:48+00:00,3,2,102,104,0,44
287,45caa97e92882d0bba05b03f80b311f83b4b1a6f,2023-05-02 03:18:33+00:00,1,1,1,2,0,0
289,57f93ae114c845fe11cd46681ca57b2bf56cf549,2023-05-02 03:27:20+00:00,1,2,11,13,0,3
290,05c93da9f6f3aeb099fc72d9a69c32ea5ccd5351,2023-05-02 04:10:40+00:00,7,21,21,42,0,30
291,b56c6a31fb7d0c045ac583a8abbfa96b851578ac,2023-05-02 04:12:22+00:00,25,301,1005,1306,0,79
292,b5dbd2921402a7efcab5cd5867b933db5500d995,2023-05-02 05:40:42+00:00,180,1877,1306,3183,0,1528
293,8ca3e1b3fa6a4da14dfbc54fec4d8b1cff607914,2023-05-02 05:42:08+00:00,3,16,3,19,0,2
295,4dd7eb54820f79c73d9dee8a4d61dc14a6ee9db2,2023-05-02 06:27:45+00:00,1,0,9,9,0,2
296,798d9f891ec11067a17a5fdbaf5f7e926a7bf5f0,2023-05-02 09:50:42+00:00,2,8,8,16,0,4
297,e0d323db2b7400747cde64441fa1378f12abddc8,2023-05-03 01:54:22+00:00,254,23018,25285,48303,0,1666
298,7975d3ee1096450cd968787c202289c5802c44d2,2023-05-03 02:27:15+00:00,5,12,18,30,0,3
299,c58a1103a4991b1608e9bf21edb45281be3547cf,2023-05-03 04:12:57+00:00,13,80,49,129,0,136
302,1ca9376d14512ed4d0659de3103641e091b6dc72,2023-05-03 06:04:22+00:00,5,9,23,32,0,8
303,90e5bcf8686b2b1a038d0c2d3ce7e768a60bd686,2023-05-03 06:36:12+00:00,21,64,1574,1638,0,219
305,ad097847bb45efe83ea36a3ce4edd8ed25b9ca10,2023-05-04 03:30:40+00:00,6,60,84,144,0,14
