Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted
373,822f01c46300dab24c4c622c3a8191d4681438b6,2023-05-10 02:00:32+00:00,4,43,1,44,False
374,f326dbab6b9429bf29f13146158418d7994c0f89,2023-05-10 02:08:51+00:00,3,5,8,13,False
377,051e8e10621c7b37696dc44d53c5c6a4967eeadd,2023-05-10 04:24:02+00:00,2,0,2,2,False
393,a94fba95c6a10e9b338a53edc6b68e1861788533,2023-05-12 02:58:17+00:00,1,9,45,54,False
394,79e7033141f566ab683f53b60c6c6d31959c054c,2023-05-12 03:06:34+00:00,4,7,14,21,False
395,e18d6039aa8c735e04996ff40ec0c259e3cd5025,2023-05-12 04:06:46+00:00,1,2,2,4,False
396,6eb9be3def221b8a178764b1f02c31786fdccc8d,2023-05-12 07:34:38+00:00,1,0,7,7,False
398,c866c0ba126f34ab7bb0a13ce0dec87bb05fd2d5,2023-05-14 00:23:44+00:00,2,2,2,4,False
406,ce1c600a9ce326548698e5672c9d94f92849606a,2023-05-15 05:37:18+00:00,5,34,24,58,False
407,e3d4a1b530948559eb1c533f19c12465c197d445,2023-05-15 05:37:41+00:00,4,31,41,72,False
425,7633b34ae88efd71e1bb1132d1b6f355919c2bfb,2023-05-16 08:45:44+00:00,1,0,7,7,False
432,38170b41f01a0158345e1522df005cfe50a95b6b,2023-05-17 08:22:10+00:00,1,0,7,7,False
433,1cda00fbc6389444cb5d4e02c6ee599c8b9472dd,2023-05-17 12:32:40+00:00,1,11,11,22,False
435,a0e76efb97f708afdd0cf8b947eb57d1e26eaa79,2023-05-18 00:55:27+00:00,1,17,17,34,False
437,a8aba93c84c7cd6c915ce87914badc1c923206c9,2023-05-18 04:28:58+00:00,1,2,0,2,False
438,349274569893549bdc6b18db3b55bb20d017f5f2,2023-05-18 07:28:33+00:00,1,0,7,7,False
439,1584e1e0eccbaf759293bf5b36fe92f9030f71dd,2023-05-18 07:46:10+00:00,1,1,1,2,False
441,9e8a6f8ddffd2a2eb54c37cb6d86730029b372c8,2023-05-18 09:47:34+00:00,2,8,16,24,False
445,914e334c0392a3dab81d3f95ee63e9aa2a6798ee,2023-05-19 08:18:12+00:00,5,4,52,56,False
446,4d52affbb227e8aa5607990d0da38f43a96157f1,2023-05-19 08:40:20+00:00,1,5,2,7,False
447,5a3e410eb8f89819c9a391aa289533110616c612,2023-05-19 10:11:29+00:00,2,1,28,29,False
449,fb72a46598b775ac2ed6f3f9eef247ccc563166c,2023-05-19 10:47:12+00:00,1,1,1,2,False
450,77ba22193f75a838fde3196f6e37ba1b029c5505,2023-05-19 10:49:45+00:00,4,15,8,23,False
453,cd26f37871470010066a86b424b40fb63d6aeb3f,2023-05-22 02:54:49+00:00,5,56,19,75,False
457,c14fad420bcdac8038970e7130ec8d5571a1db5f,2023-05-22 08:08:09+00:00,1,1,2,3,False
458,bff38ef5ed75ccb23ae0c1c7c3d4f2a370fb2d08,2023-05-22 08:38:38+00:00,2,0,15,15,False
464,eaf9a97a33a4ad0e83d9015fab7b35e4b8bf9b18,2023-05-23 04:34:38+00:00,1,1,2,3,False
465,de16090a2040f49dbec13a7204e41655c96a8e95,2023-05-23 04:36:24+00:00,3,7,11,18,False
466,390db9c9f89da6c09d2b784ff342d602b18679f0,2023-05-23 04:42:53+00:00,2,6,6,12,False
467,6bed31bab22f0289b4d7f3ae4789d9e2ca8479c1,2023-05-23 06:13:12+00:00,2,0,10,10,False
468,84e5baef67169cef5b4754d87618060ecb54f42e,2023-05-23 09:47:45+00:00,2,4,8,12,False
470,8bd6797543eb499c58a13d9b786e7de4fb7e0e0f,2023-05-24 01:44:36+00:00,4,19,8,27,False
473,7e904fc6e8e502e772e5b92272be699c6033b755,2023-05-24 03:30:41+00:00,1,0,1,1,False
474,5baa33fb5e96f2ab3db925dbaec6cff9591ef80f,2023-05-24 03:33:09+00:00,2,15,0,15,False
475,98cc45a29f546bcd9a3ad766b217009cb3666b42,2023-05-24 03:34:41+00:00,7,31,27,58,False
476,230bcd982f67dc45bb0038fa41d64153dabb2513,2023-05-24 05:43:18+00:00,1,1,2,3,False
477,66cf5a328acd54502676da483eb82c5ca581ea00,2023-05-25 01:37:35+00:00,8,12,41,53,False
480,b44641250515ac0651085f8aa80891a6a21a1f3e,2023-05-25 01:54:20+00:00,1,1,1,2,False
482,78276f64566e11a55d7ca879a153dae09f4022ba,2023-05-25 06:54:17+00:00,1,2,6,8,False
483,b86c4aaa5be2c0e9ec07524740a28fa433723fc1,2023-05-25 07:17:44+00:00,1,6,8,14,False
484,f0a025a781e0e02b552390bc9713abe3297be39b,2023-05-25 08:20:32+00:00,2,17,16,33,False
485,bfece057ce7b94abd76fd95461a3f1ced5cf16a1,2023-05-25 09:50:33+00:00,1,3,3,6,False
488,20418aee8fb5f9b4053f732b6bce5b00229d8295,2023-05-26 04:04:57+00:00,1,10,47,57,False
489,f9b250ecbb4a771dc39ea56270e40bba89697613,2023-05-26 07:18:18+00:00,1,0,15,15,False
490,fdc7634052411c7400e2fe56b0affa0c1da92fa7,2023-05-26 07:38:03+00:00,1,1,2,3,False
495,bad7641299576372d31055d0fc6c82ff6cd5a1ed,2023-05-29 02:53:38+00:00,3,6,5,11,False
