hash,cc_before,cc_after,delta_cc,delta_cc_norm,n_functions_before,n_functions_after
0b3052809f839a0453ac986829ea116e2e0281b2,1.3333333333333333,1.3333333333333333,0.0,0.0,3,3
87c516ca6167974e6ab4f8d1e894bd26a40786da,1.0,1.0,0.0,0.0,1,1
a9dc07e4bafcd507011717fabec7614f202e54f1,2.19672131147541,2.2295081967213113,0.03278688524590123,0.0015612802498048205,61,61
3d1e5e3174e0ae58c8bf3bfbdffa997ac3ca8376,1.6363636363636365,1.6363636363636365,0.0,0.0,11,11
fe26bbf9f9bf487664d098b0dc217ae2aab0dc27,2.646017699115044,2.6491228070175437,0.0031051079024995154,0.0001725059945833064,113,114
04b08dc0805c3a448ad8999ee4feb6f4b09767f3,1.5,1.5,0.0,0.0,4,4
9c32f0c859c3080decce5b80c1fc5f9bc1ff4dee,1.0,1.0,0.0,0.0,1,1
6053f7bf856bf6951df41d8eed8a0b78d137fcc1,1.0,1.0,0.0,0.0,2,2
2434115f9957f7ce08bdc95619d22c466783d462,1.0,1.0,0.0,0.0,3,3
2d3ef21232ae1cf5dcc78ec056df83bf1d401365,3.6666666666666665,3.6666666666666665,0.0,0.0,3,3
ec0e12bac3ba3103dc386e80cf4721f7503b223e,1.6363636363636365,1.6363636363636365,0.0,0.0,11,11
e31475e6bf8f1bbc6c556ce19ddf755fd99fd22c,1.3,1.3,0.0,0.0,10,10
5a206c348500b97fe3492a3aa6c3d6bcbd1b4a4b,1.75,2.75,1.0,0.016129032258064516,4,4
69ad18f3e0f54c75f47c0fcfd682280017d10b01,1.0,1.0,0.0,0.0,3,3
d1a3bbeb9a100d7c8d48b3e4d892f4267f55ede6,3.75,4.5,0.75,0.09375,4,4
31e874dbd15401f76fcaf45eb0e99a8f55fb74e8,1.8461538461538463,1.8461538461538463,0.0,0.0,13,13
09be4f19c8192ad19e3eb9aa88a867d3c29b47ea,1.0,1.0,0.0,0.0,1,1
40685f7c5270d9951c82a04148162989dbd9cd79,1.0,1.0,0.0,0.0,1,1
05346550be09fa32bf15cab3452dd13697159405,1.0,1.0,0.0,0.0,1,1
5f591b158e7b3063f08dbf311efb9789743e1837,2.261146496815287,2.2229299363057327,-0.03821656050955413,-0.0003980891719745222,157,157
df16393debbe26659f34bfe04a30288a0254d89b,2.75,2.75,0.0,0.0,24,24
df917ea7a43ffad5a72ab5ad23866b0e03ae5ad9,2.5,3.5,1.0,0.038461538461538464,2,2
326f96c29855d963e97742056988128cbc935703,3.6666666666666665,2.2857142857142856,-1.380952380952381,-0.15343915343915343,3,7
8048a08759e8df05673ce1767598ae79eb2d9657,1.0,2.1,1.1,0.021153846153846155,2,10
5f394ea447c7f9990f19b471e70b7ecb63b51262,3.25,3.5,0.25,0.020833333333333332,4,4
d8cd4cb895c6bf928471d9ba3096a09c76196983,1.0,1.0,0.0,0.0,1,1
31b65f684a5dc670f1c2bbc554098cf8aa7ab167,3.5,3.75,0.25,0.020833333333333332,4,4
48c39e213bb85bf4ead63690731641d348187f46,3.75,3.5,-0.25,-0.017857142857142856,4,4
87dfc51cdbd9063aec3174714e07c3370d28343c,4.0,4.0,0.0,0.0,2,2
9ee13e5e34a58085f950dc06e2eefc45fa198a20,1.0,1.0,0.0,0.0,1,1
e37aa76e6dddddcb0ff3a89b5e9ef0529709a276,1.0,1.0,0.0,0.0,3,3
ef8b5effcdea8856976144d5ca8e0f43c3b784b6,1.5,1.5,0.0,0.0,2,2
96a1ff37ed634da037c6c95dcc5bca1554f84989,1.0,1.0,0.0,0.0,1,1
44daefaa2ef2134633bf6929a01c54ea5fe1e110,1.0,1.0,0.0,0.0,1,1
ad4e99d1bee144d71686dc9cac3622aa6377f900,1.0,1.0,0.0,0.0,3,3
8217b73c30dec05d711923afbd21d3d25f60719c,1.6842105263157894,1.6842105263157894,0.0,0.0,19,19
5edc1ffb040d0870541911d6e3ef3f2912d6ffa6,1.6666666666666667,1.6666666666666667,0.0,0.0,6,6
b7111db1b8c02b9b0c92b34afec4280319d066e2,1.0,1.0,0.0,0.0,1,1
a74e0e8f710e371e6bc0b56f356eddd15858b0f2,1.0,1.0,0.0,0.0,1,1
4a572466dfe373cbdb25f8f8a14321bd57a82070,1.0,1.0,0.0,0.0,3,3
e0668f69bfad42f9a7142ae40882913093cbe405,1.6666666666666667,1.6666666666666667,0.0,0.0,9,9
23fc46f4afc84164d934df77c440181a10c1ffda,3.875,4.285714285714286,0.4107142857142856,0.03733766233766233,8,7
1c18099e5f7fd96b24bd292fca1bb246248bed03,3.0,3.0,0.0,0.0,3,3
fdd399347e9bf948265f232b88b85fe49bc680ef,7.0,8.0,1.0,0.05555555555555555,2,2
1e344de685a2e030260894e9d0a024f5f29cc149,0.0,1.0,1.0,0.006329113924050633,0,1
6aafd106dcd009a6036d3ccc98910f1c0dbe3c81,1.0,1.0,0.0,0.0,3,3
fe79f2edf1ca494213ac327ebb62c98c04ca1958,1.0,1.0,0.0,0.0,3,3
e6514c82e095268422e3bc22e1c8520caa1c93f2,2.217391304347826,2.2318840579710146,0.01449275362318847,0.00046750818139317646,69,69
fed03991c7021041e0d9c0488433dbe857fe1bb3,1.0,1.0,0.0,0.0,3,3
491a9d5810d2e4e7ec8870831a749ab8a40fb342,5.0,9.0,4.0,0.3333333333333333,1,1
abddf2021abe19be8b4b7e5b8636f1f547a4da86,1.9444444444444444,1.8888888888888888,-0.05555555555555558,-0.02777777777777779,18,18
e3a26b7e126af32d004cad7b0e0108917d214005,1.0,1.0,0.0,0.0,4,5
420c729988cd973b90d621bca398c67aec024faa,1.0,1.0,0.0,0.0,3,3
6702ee0c4c46df5d84a574c0af035f1caec9ec8d,1.0,1.0,0.0,0.0,2,2
6217cc37c3f945ad6bc867aa2c1cf9d0b8701cbb,1.0,1.0,0.0,0.0,1,1
25d3cee77255c4273ee5d9d905c739ee36ed2429,1.0,1.0,0.0,0.0,1,1
64d7cd0801bae7a0876744cd33d841dcdf6dd9f1,1.6666666666666667,1.6666666666666667,0.0,0.0,9,9
061648deaf31a555a29c49be54ccd6610f99f3fb,1.0,1.0,0.0,0.0,1,1
3ff4b6c2290c06dac309ea22d6983512cd237906,1.0,1.0,0.0,0.0,3,3
f3179976604fed98f7903377a701bc5caf3a51f3,1.0,1.0,0.0,0.0,1,1
f3b3f72765ab7f89c80c7fa0e420d46e9f701213,1.0,1.5,0.5,0.05,2,2
54d6c440e974d1c7708b71f276eb47a0baefe82e,2.0,2.0,0.0,0.0,4,4
e0a681bc68e0f1d1e82db6e48ca48ac5fd710d4e,2.2857142857142856,2.2857142857142856,0.0,0.0,7,7
2f7f5e1a0e448ca870b2f7333035178906033726,1.5,1.5,0.0,0.0,2,2
1fa68c1725095bb9ed7827533de32ae0ce0ab535,1.6666666666666667,1.6666666666666667,0.0,0.0,12,12
9d2d1845c1953ffc7233a18b93c3be3998ad757d,1.6666666666666667,1.6666666666666667,0.0,0.0,12,12
14b69e538401fb157642b71a6c95b55ed8c84cca,3.0,3.0869565217391304,0.08695652173913038,0.0041407867494823985,23,23
c013a4c334256a749657fbc2e7596dbc2571f9fe,2.2388059701492535,2.272727272727273,0.0339213025780194,0.0011697000888972206,67,66
d4c131cadfed12507d1e1b2dccc6e5c492f26125,2.5,2.5,0.0,0.0,2,2
db8ffd0793c4c1998dc7ca5bce77aadbe3bae51b,1.0,1.0,0.0,0.0,1,1
d8742ccbcc855aa65d1c8fb92057c0a5b8996d38,1.0,1.0,0.0,0.0,1,2
e2ada6d9fb5445ea9380e16f76024b75d8527583,2.0,1.0,-1.0,-0.03125,4,6
726a09484826d6fde32258a8f63ab1061e10a21e,1.3,1.3,0.0,0.0,10,10
580484ec400db04f6e134aa5484b597ebcea8efc,1.0,2.0,1.0,0.03125,6,4
6437fbfbad1efce53ce21693f38cb4b57730db16,8.0,9.0,1.0,0.029411764705882353,2,2
299cf46b7c54937920478bbb2c09290dff878197,1.6875,1.6875,0.0,0.0,16,16
6da4bb6673ad6eb374643b8aa13e9e3876c266c8,6.0,6.0,0.0,0.0,1,1
2e4593b56491545f5248461dded64f6244eee2e9,1.0,1.0,0.0,0.0,2,2
007adc6ef7075bf84ed32c504222575d0253f856,4.0,4.0,0.0,0.0,1,1
6f44768edac6f50242595a6d1ba4c5008e934daf,1.0,1.0,0.0,0.0,1,1
f4bae0e74b76c642ee47f1e304236f3a8716e7cf,1.0,1.0,0.0,0.0,2,2
46b9699a9451fbcd30a95ac0e9faa55a8d95257a,10.285714285714286,9.125,-1.1607142857142865,-0.006557707828894274,14,16
4ca0bde659022501efebf2f7254a585a3ec572fb,2.0,1.5,-0.5,-0.03571428571428571,1,2
2b9619fe334e252d0d00d70d60066d0d691d0a78,3.3333333333333335,2.0,-1.3333333333333335,-0.012232415902140675,3,2
5eb817706fd3cf34b83deca82137e15f8d55b7cd,3.0,3.0,0.0,0.0,10,10
72feeb96b45447ce1ada3205a397deec248a074b,1.75,1.75,0.0,0.0,4,4
0d809fe5282b61f9824438a98f8210d430f7052e,2.1363636363636362,2.1363636363636362,0.0,0.0,22,22
8605fa68c102cf0ea320c23e27a719af588f4fee,1.0,1.0,0.0,0.0,2,2
c4848219850400dacaa18eee6f7b69711a7692f1,1.0,1.0,0.0,0.0,3,3
9f3172be8dd4f1056a4a2bdb9f8cdd6275765924,1.0,1.0,0.0,0.0,1,1
b19016c1f1491778c70e0ee2e35a585d1dc1d71c,3.090909090909091,2.6984126984126986,-0.39249639249639223,-0.006230101468196702,55,63
84b5d3743f39fac38f5075848ad3ac9887b3cc6c,1.25,1.4285714285714286,0.1785714285714286,0.001608751608751609,4,7
fa4a103dcaa2cbb7b07686abb19973d9db3e15de,1.0,1.0,0.0,0.0,2,2
de517fb478aee5148e56f489e469455e72812a3f,4.2,4.2,0.0,0.0,25,25
659be052990741a4baadd83f1d3461b56e2ef02f,1.6666666666666667,1.7647058823529411,0.09803921568627438,0.0006051803437424344,12,17
8fcf77ab4d237b00909e034644b4885946724c08,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
3631e387435225cb516f308ac0069ac7f7481394,2.1379310344827585,2.1379310344827585,0.0,0.0,29,29
62aaecafa58daae40653e33d159d0b47a1e064f6,3.0,3.0,0.0,0.0,3,3
f82b3ebd19b77d0f026228168226ea91b2f43323,2.0,2.0,0.0,0.0,3,3
a9b41e9892131f542ebfd677cc505f3c5135333c,3.0,2.0,-1.0,-0.058823529411764705,1,1
74b3c1e8f7cdc59f41eecb8036ca5658db5d79a3,1.34,2.3333333333333335,0.9933333333333334,0.07641025641025642,50,51
0e1c728b87691c5680b29cc4f74794918deeeee3,1.25,1.25,0.0,0.0,8,8
4994dc76bd6223956e8ce92b0941c9fbba0dd380,1.25,1.25,0.0,0.0,4,4
088702e95cf8faf3a406ff425c0dcea4e86be9a8,2.411764705882353,2.411764705882353,0.0,0.0,17,17
81970821034a9f891d6ada132d0ab4889d54bde3,2.264705882352941,2.2794117647058822,0.014705882352941124,0.00040849673202614234,68,68
3687757036751e2592de55e4677fc2d3879f1bce,1.0,1.0,0.0,0.0,2,2
612c9195a4b7aed66e9ee384430f663f2ba7aabc,6.454545454545454,6.333333333333333,-0.1212121212121211,-0.0012496094970321763,11,12
9ca53aacf8a335f645b37d28c4689b21ee3803b0,1.0,1.0,0.0,0.0,3,3
5ad6c6c8bfbbd9ab2eccd900fba73e6eb592ccdb,1.0,1.0,0.0,0.0,2,2
ca461697b425d15bff78e8739acb4e2fd2860708,2.1666666666666665,2.3333333333333335,0.16666666666666696,0.018518518518518552,6,6
4450467f61fcab5968ab94b6c017ebd7f89d7473,3.3333333333333335,3.0,-0.3333333333333335,-0.004761904761904764,15,18
6f83b071ef12c905d6328ca07a5894581c55052b,2.933333333333333,2.933333333333333,0.0,0.0,15,15
