hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
ea1d930f8f089db1d1866012772c8a6fdad52d4f,2023-04-25 14:15:09+00:00,1,1,1,2,0,False,1,0.0
d42dbf5e682765452ed3e0728e2e0322aeedce22,2023-04-26 02:31:43+00:00,3,6,46,52,0,False,75,1.36
32d59fedaff0ad0b35b70e3d97ae30290742d42e,2023-04-26 03:09:53+00:00,2,151,151,302,0,False,0,0.0
50bf4049b53dc20b1fead63686e93036cf5335db,2023-04-26 07:02:27+00:00,2,113,113,226,0,False,0,0.0
d03fb3a8ef0d2e01f838ffb8a92777f7f877b362,2023-04-26 09:20:32+00:00,1,18,32,50,0,False,4,5.9
537a75081cfcfff4de8a0844f017c649ea92ef12,2023-04-27 02:09:34+00:00,2,114,114,228,0,False,0,0.0
fb2fe562ad9eff7abea7ffc6c3f24cb63ee10744,2023-04-27 02:09:52+00:00,2,153,153,306,0,False,0,0.0
33530808389e11b991bee2163785d52d60854714,2023-04-28 00:56:17+00:00,2,113,113,226,0,False,0,0.0
4065fe76266a6d6e7c2040dc52cd3769e4bf38f4,2023-04-28 02:44:21+00:00,2,147,147,294,0,False,0,0.0
67b6a19086cd588dc881f29a292c9ffc2bc9c169,2023-04-28 13:09:38+00:00,5,22,123,145,0,False,16,0.0
8886cc79b07344ffb50c20a87f5ed1b2d0dc2199,2023-04-28 15:42:10+00:00,2,4,37,41,0,False,3,0.0
c699d2fddf3f52364561023c0973922fb5552d9c,2023-04-30 04:00:58+00:00,3,6,7,13,0,False,0,0.0
3a302308954a0addfd7f1769b9a6ca4a60ac2e20,2023-05-02 01:51:28+00:00,2,154,154,308,0,False,0,0.0
a1f26f2e55302693c6ec1a86eee5cb0db27f1eef,2023-05-02 02:03:28+00:00,3,6,7,13,0,False,0,0.0
08b5a5c86d91ec026410529179f95dfd7c7804af,2023-05-02 03:19:36+00:00,2,113,113,226,0,False,0,0.0
3ff35462961ac672808881021147c3856ea7212d,2023-05-03 05:57:18+00:00,2,149,149,298,0,False,0,0.0
180a315c4e067a53bb2b62c5c152fae5ea8ed214,2023-05-03 05:57:36+00:00,2,113,113,226,0,False,0,0.0
1fc9cac9756846f707ed50729cc42d23e2a61282,2023-05-04 02:19:22+00:00,2,113,113,226,0,False,0,0.0
3f2dc963219942c6571327d918855dcfcc73f6b3,2023-05-04 04:07:18+00:00,2,10,14,24,0,False,0,0.0
fc6b5b6b03f750bb24d43807f961b3670c05a05a,2023-05-04 05:44:37+00:00,2,12,0,12,0,False,0,0.0
22c41ce8bba99a8976c80c2a4d4fbcd204713d7c,2023-05-02 20:24:23+00:00,6,264,224,488,0,False,124,0.0
26eb25e372afb64b8fa3b67b2732b1e376dc8e11,2023-05-04 09:08:38+00:00,1,1,1,2,0,False,28,8.54
8689087c536660a263d84186cc464794dad8912f,2023-05-04 13:25:09+00:00,2,11,11,22,0,False,27,0.0
978124bcbe217138ba0d33c7b4276f7f633cdcca,2023-05-05 02:49:30+00:00,2,114,114,228,0,False,0,0.0
85b85b144ca8b1c65234811b298f7fa96840b335,2023-05-05 02:04:07+00:00,2,2,2,4,0,False,0,0.0
48fbd4f8a973e9fc9e4677982dc3ac69affd2c7a,2023-05-05 04:21:32+00:00,2,10,2,12,0,False,0,0.0
9561aceb6681caae1b2bec06cf911dbf6340e064,2023-05-05 08:29:42+00:00,1,7,0,7,0,False,4,0.0
cc837bd95f5fa0a6e8cd46c4369a9b1787fff630,2023-05-05 12:00:07+00:00,2,0,16,16,0,False,1,0.0
c0e767a1da0d7bdef346b1aa1a9f76a1a9d4ac54,2023-05-05 15:23:06+00:00,3,8,8,16,0,False,0,0.0
db61ecbece0a27879cab9506cfca51bfe84e5211,2023-05-06 06:10:15+00:00,2,113,113,226,0,False,0,0.0
aa24a3bd1e78fcb2dfc14c7a0f0ee43da9b3c27f,2023-05-05 07:34:07+00:00,3,42,61,103,0,False,35,0.0
b0ec19684479a5a87c14c829462bf876c3a196b2,2023-05-05 08:23:04+00:00,1,4,18,22,0,False,5,0.0
d6e8e1f94e5c4717843692c929e0f2ae701d8924,2023-05-07 06:00:26+00:00,2,113,113,226,0,False,0,0.0
efc764aa169b1844233e7f8e1acb2181b7310fdd,2023-05-08 02:49:32+00:00,1,1,1,2,0,False,6,0.0
0ded36e1f3cdb059c5937c82ac5d8d09ebe2615e,2023-05-08 06:08:27+00:00,2,113,113,226,0,False,0,0.0
7121c7bdbe94fa4ad7f4b938ba03a11691312635,2023-05-08 06:14:52+00:00,1,1,1,2,0,False,4,0.0
94d722c383d182854b59692fd93bb8ecd4183984,2023-05-08 06:15:11+00:00,2,155,155,310,0,False,0,0.0
9efcdb9f20e431ec5d237f98a8fc93c3cdef8b03,2023-05-08 06:42:38+00:00,1,1,1,2,0,False,0,0.0
54ff61b7b9410a5eeb3d6dcb03ccdc54721a9146,2023-05-08 07:52:24+00:00,1,1,2,3,0,False,9,0.0
bd561980b7a25ed646c269cae8a3c3a968555c04,2023-05-08 04:47:21+00:00,5,102,152,254,0,False,28,0.0
803a367af81545874f91bee61c9af1bab1b0e00b,2023-05-08 04:51:01+00:00,1,1,4,5,0,False,0,0.0
748b5ffdfc1c8a1d1d077f6cf15fad8d024cbe51,2023-05-08 09:26:52+00:00,2,7,10,17,0,False,10,0.0
ae63dd4a35da5865bc1b8112e44be9e9d1b00fce,2023-05-08 09:47:48+00:00,1,2,1,3,0,False,7,0.0
d5af0c9c27fd3ece9c21ad0c36d260c1bab081a0,2023-05-09 03:00:49+00:00,2,111,111,222,0,False,0,0.0
516cae20faba7e0ece52dcc1d7ca7e9600ad31af,2023-05-09 03:01:02+00:00,2,151,151,302,0,False,0,0.0
98f31daf7d4c5b804eb171a76d1b5f876e51ebc7,2023-05-09 03:43:16+00:00,1,6,6,12,0,False,13,0.0
912eee4ceec53ebba03edf4acbd0276f29095b96,2023-05-09 04:09:48+00:00,2,2,2,4,0,False,3,0.0
3654f542a5310d39dc10aab34d15396a578add0f,2023-05-09 03:00:20+00:00,1,2,13,15,0,False,30,0.0
b494638c7a65e2be3cdcad73ef2c35a33d0e0a25,2023-05-09 07:25:53+00:00,2,4,2,6,0,False,3,0.0
d0f16a96fcaaadb6b307e104c87c54ca8bce8a8b,2023-05-09 08:31:41+00:00,3,6,19,25,0,False,24,0.0
f1d0b22a70157d4a66500bbabc29c87d8b45879b,2023-05-10 01:36:13+00:00,2,146,146,292,0,False,0,0.0
6ee1a300d6faa5ba203e30edf4911ffd01bb3889,2023-05-10 01:36:28+00:00,2,113,113,226,0,False,0,0.0
eba1b50adacf7478a411e2e9198aaf73042b839f,2023-05-10 03:22:35+00:00,1,1,1,2,0,False,1,0.0
3dd48639eff9c73bd09f6b611831b09915bc2574,2023-05-10 05:45:59+00:00,1,4,4,8,0,False,13,0.0
eabd93b597aa0de8a86b99637426ab95de763202,2023-05-10 05:46:29+00:00,1,10,21,31,0,False,3,0.0
542dda049638a723dc75aa54801c7c5c9e97e406,2023-05-11 02:04:34+00:00,2,150,150,300,0,False,0,0.0
91816c9ecbad4a45cf9ce4656f9be80a26ddffe8,2023-05-10 18:43:31+00:00,1,5,5,10,0,False,18,0.0
681434c559617670ffe4a72dc24a688a46ea50d3,2023-05-11 02:06:36+00:00,2,112,112,224,0,False,0,0.0
f80dd43d7462994f1504d24c3f1045eaaf474674,2023-05-11 04:01:49+00:00,2,0,30,30,0,False,1,0.0
d1c7b49a1f0f1eb1543923147e73d06f43ffeb26,2023-05-10 10:24:47+00:00,5,12,35,47,0,False,53,5.76
e16836f8ca733d315a60128777de2541aa0213c2,2023-05-11 03:19:33+00:00,7,9,113,122,0,False,30,6.47
b34e9c23aa518896fddf0bc8dfcefef9ef5aca22,2023-05-11 07:15:07+00:00,1,1,1,2,0,False,15,0.0
992db1dbeb2d8e8982178f026f26a15cd319065e,2023-05-11 08:51:47+00:00,2,13,23,36,0,False,72,0.0
139b7dc3357bed56481812e47fefaeae980fe5bf,2023-05-11 09:52:45+00:00,1,1,22,23,0,False,2,0.0
bdbcc048ef55c63858c182b58aa1ef58ae168238,2023-05-11 10:38:10+00:00,1,2,2,4,0,False,2,0.0
1796d70d5c50d206507287b88c22763b67c2ec9f,2023-05-12 01:56:25+00:00,2,148,148,296,0,False,0,0.0
f27e91185f9f97b7a16f4465df27d4792ee77358,2023-05-12 02:56:56+00:00,2,114,114,228,0,False,0,0.0
0f5e6a229359c6c2674be995640df9a32efd38f6,2023-05-13 04:37:12+00:00,2,112,112,224,0,False,0,0.0
6b071303d673cb1f4bbe39016f1a9c730c5b7685,2023-05-14 01:59:33+00:00,2,113,113,226,0,False,0,0.0
4296be71103a138de9814aa6f5f3e2b87eeecaa1,2023-05-15 01:55:27+00:00,2,113,113,226,0,False,0,0.0
b9ec206cd485d27374002ea634798470e4c3c32b,2023-05-15 01:54:14+00:00,1,4,10,14,0,False,3,0.0
4af56a6ce7db39e55c5788aefaf4109a86c28552,2023-05-15 02:20:02+00:00,1,9,9,18,0,False,2,0.0
1edcd162d85b68689604bafff048d54e2956efa9,2023-05-15 03:13:50+00:00,1,1,13,14,0,False,0,0.0
982295bc86acc2f8db5228983cdbf644d8ed8fc6,2023-05-15 04:06:44+00:00,1,36,0,36,0,False,2,0.0
6caceb9c47e30efcb3d47f613f4f17c5ddba496c,2023-05-15 23:56:27+00:00,2,114,114,228,0,False,0,0.0
1b114e492af929650cb8797c943f767372029af0,2023-05-15 23:59:13+00:00,2,155,155,310,0,False,0,0.0
6347a23fa230d8b2c01887cdf06dd973620a6a68,2023-05-15 06:57:15+00:00,2,2,17,19,0,False,31,0.0
e89830365df95c1e7709af117fb7ad6f5dad0fee,2023-05-15 08:58:21+00:00,2,20,38,58,0,False,38,0.0
09c7a375cd6cd38b1a9e43b7efaaa6e4482885da,2023-05-16 03:20:57+00:00,3,9,34,43,0,False,12,0.0
b1d34832f35edb836647a1ab3ddc627ce2b1e3e3,2023-04-25 06:56:14+00:00,6,10,41,51,0,False,96,13.35
8265b3b2957f2f81fc23b8817128cbf019841008,2023-04-25 06:59:40+00:00,1,2,2,4,0,False,7,0.0
aa849c6d086a25dbe3fddba2e7f51c574ea61e72,2023-04-25 07:08:34+00:00,1,1,1,2,0,False,14,0.0
05354f90f8849ba2b107f41515842125a19185d9,2023-04-25 07:25:55+00:00,1,2,2,4,0,False,14,0.0
7596432b228bd8b800a1973aea483bf43ff288b2,2023-05-11 08:20:36+00:00,3,19,50,69,0,False,64,12.64
c0c188ca0f2c79dbb4a077701c2cda0bea80fdcc,2023-05-11 08:29:23+00:00,1,1,9,10,0,False,50,13.1
ec9f773f95e2b26c128cf55ad115a52dcb574b6a,2023-05-11 09:41:50+00:00,2,12,13,25,0,False,28,14.55
d0cf413eaa6274fe4449bc9d567a480958967c23,2023-05-11 09:50:18+00:00,2,5,7,12,0,False,29,14.46
8300465465b6fa723336926f4472814d3a5a3d38,2023-05-11 10:25:58+00:00,5,28,25,53,0,False,90,12.9
a2f68e5507f62bede005b35e63a0e1ef93c9a6a3,2023-05-15 13:52:50+00:00,1,6,48,54,0,False,17,12.89
7940dfd1f3fe96fabb87a63729f21b28581c40af,2023-05-16 09:36:38+00:00,1,9,9,18,0,False,3,0.0
4a92c3ab1f10a162dbe9908d987d53708c7319da,2023-05-16 10:19:57+00:00,2,1,54,55,0,False,4,0.0
6d1238446dbadab69ea702a2da50da87d42a8bdc,2023-05-16 10:39:32+00:00,1,1,1,2,0,False,3,0.0
2fd7f9be0b49c8f35418db81b1ea90ad7cc0a06a,2023-05-16 15:03:37+00:00,2,22,37,59,0,False,0,0.0
25ed49bcf94189d0a66d8610d474a16ab467c345,2023-05-17 02:35:07+00:00,2,147,147,294,0,False,0,0.0
30ee6677c0aa27c4310ad8977c411083638e9574,2023-05-17 02:36:49+00:00,2,111,111,222,0,False,0,0.0
bca1aaed4fd43b3fcefd82158ed1f2c06bc02cc4,2023-05-18 00:55:15+00:00,2,112,112,224,0,False,0,0.0
a2a6a553b2ad0a4f0586a7432d8daab406a6a611,2023-05-18 00:55:49+00:00,2,147,147,294,0,False,0,0.0
ed0990efd30050484d00464cbebc73d539caf94e,2023-05-19 00:54:47+00:00,2,150,150,300,0,False,0,0.0
f836e8aac0f45b77e4400cb9842392b6005f9a3d,2023-05-19 07:44:29+00:00,2,112,112,224,0,False,0,0.0
1cc5d0eac06e678cc9d9851d9929f87f84ad9d43,2023-05-19 10:35:39+00:00,3,1,194,195,0,False,5,0.0
2bef68b02f6e60112c6f8bcf28c20747dce24f33,2023-05-20 04:45:49+00:00,2,112,112,224,0,False,0,0.0
ac627b146c0a9db8e7945780417cbb1c92235fda,2023-05-20 05:16:14+00:00,2,149,149,298,0,False,0,0.0
5db3a6a4eab2d56bd55f2a42e734797180ae42c7,2023-05-22 03:26:48+00:00,2,112,112,224,0,False,0,0.0
21e252c4da5b77d88f078c256459de2a563b6b30,2023-05-22 03:28:32+00:00,2,150,150,300,0,False,0,0.0
