hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
454d1af7dbae1466cce09d944f5a9b8543444a36,2023-11-19 04:47:41+00:00,0,2,6,8,0,False,0,0.0
061201df9ca1d195817391ff1d332fcb5aed1700,2023-11-19 05:27:10+00:00,2,10,59,69,0,False,37,0.0
c0206c02dba86ab68594d10920db75e44f53f2b4,2023-11-19 05:47:52+00:00,0,10,59,69,0,False,0,0.0
432e1f12577d6fd374e3f0fc4c7ff99681e18015,2023-11-19 05:48:23+00:00,4,7,201,208,0,False,1,0.0
857d2e7a57a5cb1e4464b2a46c173fa8c5ebabe8,2023-11-19 05:48:56+00:00,0,7,201,208,0,False,0,0.0
a1b446ca2059565717da628851a9c5221cf46b4b,2023-12-10 15:27:27+00:00,3,0,379,379,0,False,7,0.0
4808d6ec2c2b593f6465e3b7a0bdabaece7039dd,2023-12-10 15:28:13+00:00,0,0,379,379,0,False,0,0.0
6a24bb66900f1e62ac026be6cf54056a4f8c21a1,2023-12-23 08:23:54+00:00,5,32,1,33,0,False,7,0.0
14af3666bfd1793329005186e6482c065071dd3d,2023-12-23 08:42:10+00:00,9,0,8,8,0,False,0,0.0
3f39a773c45fb5d2c7655962c256084ac2cd0966,2023-12-23 08:43:44+00:00,7,0,8,8,0,False,0,0.0
43bd805506c61daf7cedd10eb60339f3f0e80062,2023-12-24 13:49:27+00:00,7,181,206,387,0,False,24,0.0
f8f0717aaf5fd9aeaebb4ec703b9a18a0c459eaf,2023-12-24 13:51:46+00:00,7,0,8,8,0,False,0,0.0
b0a4d6c6595f0da369e9fd46252f740073d8c0cf,2023-12-24 14:37:26+00:00,4,7,32,39,0,False,29,0.0
ff22aff307f2cfea2b7fe765ecbda98cde08c12a,2023-12-26 11:33:49+00:00,3,2,108,110,0,False,12,0.0
9d98a7204019495f467ae72e592fb7c5fb74e4cf,2023-12-29 09:17:30+00:00,6,8,8,16,0,False,9,0.0
d92cd014c7e79897e2086caad38c07ac1d1e0c41,2023-12-29 10:20:53+00:00,4,28,34,62,0,False,19,0.0
2f60572beeafdf51b184b4e6557d06d89de753b2,2023-12-29 10:22:53+00:00,1,8,8,16,0,False,4,0.0
f58a756b8da6258436ae0b8bb7219b07302edac9,2023-12-29 10:53:47+00:00,0,549,743,1292,0,False,0,0.0
3a6702e9d32a3513efa01a751281e17b5a629603,2023-12-29 11:13:31+00:00,3,0,486,486,0,False,17,0.0
54452124ef65624918713e4f5df6c55073373778,2023-12-29 14:26:35+00:00,3,0,312,312,0,False,9,0.0
531ca9183307ac9865aad171d38600f6910fcf92,2023-12-30 06:45:10+00:00,13,6,570,576,0,False,43,8.33
f3539f53d1f2f763fa2747cbcc6cb0040a404671,2023-12-30 16:41:56+00:00,1,1,4,5,0,False,6,0.0
c52268340b968ec18c69fd35922acdf2d10f68dd,2023-12-30 18:17:11+00:00,1,0,15,15,0,False,4,0.0
