programming_language,repo_name,commit_id,tool,hash,date,files,deletions,insertions,lines
TypeScript,pancakeswap/pancake-frontend,6316573298a9ed8e0cf8e5b340d0344150e253df,copilot-pr,6316573298a9ed8e0cf8e5b340d0344150e253df,2023-11-23 15:09:08+08:00,1,4,11,15
TypeScript,pancakeswap/pancake-frontend,6cb13a807965e0be3ffbf015ad6d4494d0937cee,copilot-pr,6cb13a807965e0be3ffbf015ad6d4494d0937cee,2023-11-23 11:03:39+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,6e64063aaf3a4d3bf3aeb5fcc4c486569b6c474e,copilot-pr,6e64063aaf3a4d3bf3aeb5fcc4c486569b6c474e,2023-11-22 23:03:01+08:00,4,35,19,54
TypeScript,pancakeswap/pancake-frontend,adad7799f0f26fd117394a14b034a26930e92cb8,copilot-pr,adad7799f0f26fd117394a14b034a26930e92cb8,2023-11-22 22:18:33+08:00,7,40,86,126
TypeScript,pancakeswap/pancake-frontend,74cc397d320ef07c572b4c81b7fe1a05c24feb56,copilot-pr,74cc397d320ef07c572b4c81b7fe1a05c24feb56,2023-11-22 21:31:53+08:00,7,184,38,222
TypeScript,pancakeswap/pancake-frontend,ebb4f7b1ee69d83fd3bfeee5b6bd7f9084d3f9d7,copilot-pr,ebb4f7b1ee69d83fd3bfeee5b6bd7f9084d3f9d7,2023-11-22 20:43:01+08:00,2,13,16,29
TypeScript,pancakeswap/pancake-frontend,59a26665995329251ddad837c0c4cf5e9ecdd0d6,copilot-pr,59a26665995329251ddad837c0c4cf5e9ecdd0d6,2023-11-22 20:05:34+08:00,209,496,9583,10079
TypeScript,pancakeswap/pancake-frontend,e1413ef27ac7884070ecf8a6fd0ceb2fb704f882,copilot-pr,e1413ef27ac7884070ecf8a6fd0ceb2fb704f882,2023-11-22 14:36:24+08:00,1,1,11,12
TypeScript,pancakeswap/pancake-frontend,7bb6be07731d5a4639acd0e9dec6df5e1a87bbc5,copilot-pr,7bb6be07731d5a4639acd0e9dec6df5e1a87bbc5,2023-11-22 02:38:01+01:00,1,5,4,9
TypeScript,pancakeswap/pancake-frontend,fd7a96a36e9b8d961addda39abee9fd62d638536,copilot-pr,fd7a96a36e9b8d961addda39abee9fd62d638536,2023-11-22 09:22:52+08:00,7,6,205,211
TypeScript,pancakeswap/pancake-frontend,ffedd70e97a07cf8f03bc76e669fb3637262cf7b,copilot-pr,ffedd70e97a07cf8f03bc76e669fb3637262cf7b,2023-11-21 10:21:03+01:00,1,4,1,5
TypeScript,pancakeswap/pancake-frontend,25bd3a6bae2811ca8a8b4319de64b3076773205f,copilot-pr,25bd3a6bae2811ca8a8b4319de64b3076773205f,2023-11-20 14:57:11+08:00,26,67,454,521
TypeScript,pancakeswap/pancake-frontend,ac6ef44db880b1689a0669d82719d58996da3ca1,copilot-pr,ac6ef44db880b1689a0669d82719d58996da3ca1,2023-11-20 11:42:42+08:00,1,0,1,1
TypeScript,pancakeswap/pancake-frontend,63bb02a0421a204ebe32693a71293598eebffacf,copilot-pr,63bb02a0421a204ebe32693a71293598eebffacf,2023-11-20 04:29:36+01:00,15,84,135,219
TypeScript,pancakeswap/pancake-frontend,3bda77beeb8c2484d9fca646df1178e5c937fea3,copilot-pr,3bda77beeb8c2484d9fca646df1178e5c937fea3,2023-11-20 03:56:59+01:00,3,25,32,57
TypeScript,pancakeswap/pancake-frontend,02332a804c2aea03cae324cc0e0216fb04d4dc13,copilot-pr,02332a804c2aea03cae324cc0e0216fb04d4dc13,2023-11-17 20:48:25+08:00,2,11,20,31
TypeScript,pancakeswap/pancake-frontend,46cacede58ba9faf561ab70107c98d819cedfc35,copilot-pr,46cacede58ba9faf561ab70107c98d819cedfc35,2023-11-17 18:32:27+08:00,18,45,264,309
TypeScript,pancakeswap/pancake-frontend,5d8abad1ac7b64908f21495a44cb5a34626150cb,copilot-pr,5d8abad1ac7b64908f21495a44cb5a34626150cb,2023-11-16 19:46:00+01:00,2,37,44,81
TypeScript,pancakeswap/pancake-frontend,b1db0cc1e9225bb70961953e97c24386eef88f81,copilot-pr,b1db0cc1e9225bb70961953e97c24386eef88f81,2023-11-16 19:00:37+08:00,167,1148,5588,6736
