programming_language,repo_name,commit_id,tool
TypeScript,pancakeswap/pancake-frontend,98b54b84b5705151c5a6c440263e761823b0bb72,copilot-pr
TypeScript,pancakeswap/pancake-frontend,cb5a0a9e17775e00f18292eea49ffcce87119ef2,copilot-pr
TypeScript,pancakeswap/pancake-frontend,9dd8b9b71e4edc3a38b837fb101e930985fd2d59,copilot-pr
TypeScript,pancakeswap/pancake-frontend,fbc850bb3d54b1b5967f283ad1c75ce1991c55eb,copilot-pr
TypeScript,pancakeswap/pancake-frontend,5a6bc06aaf3d1d8ecf6a6e67b8a6f3a0f9edfc23,copilot-pr
TypeScript,pancakeswap/pancake-frontend,75b00c53c7cbd7b0a54179739e6498f2a357b920,copilot-pr
TypeScript,pancakeswap/pancake-frontend,dfa20d82864f2d5a5e5804e02c1d946af2613c0d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,e73d4ded32df6cef1db131f4dcc1dba4c87a6f55,copilot-pr
TypeScript,pancakeswap/pancake-frontend,fa5d5334e450997c24ced6745f40556c1f3c0e01,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b30a46f7f56babd1a2ff8265557ff614ae70908e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,47757b84b281a5e1caac71ded0a250b580385671,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b328ce24c66f965c85971dbd6210a8d80809c322,copilot-pr
TypeScript,pancakeswap/pancake-frontend,c8223f84656c2207d79b57fdb8c9a37e6cc960ff,copilot-pr
TypeScript,pancakeswap/pancake-frontend,45b466019984fa6329939b841dc362906033996e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,1985ea7515af81c49b1e8783df35bdb1be0d0ebb,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4faf0bc4d9b803b245dedef3d44318cdca8293c0,copilot-pr
TypeScript,pancakeswap/pancake-frontend,49d24e6996561ab65f6f52969928cde72bc29bdf,copilot-pr
TypeScript,pancakeswap/pancake-frontend,f9229f0deafea4aa6bd072af78db47fd6486746f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,bbefa0e374f836399583ea4de478e02318c7bb86,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b4a6e99fdecdbfd49034c39884a63967dadf0f6f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,64c6c2aa01c543e88acba9dcd019885890575922,copilot-pr
TypeScript,pancakeswap/pancake-frontend,eed2b899df9f5dab1fa8be35b6bf5e05dc44e99f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,929159ed2172b01f62a4f2d1c23051cbb3287b7e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,baee7e6305d6aad5e96aa72ba4b8604ca1876eaa,copilot-pr
TypeScript,pancakeswap/pancake-frontend,22b8dc7db9d84f1d2a03efd43ba48ac79171529b,copilot-pr
TypeScript,pancakeswap/pancake-frontend,241cc7897927ea5890962b876870dc4cb02f52d9,copilot-pr
TypeScript,pancakeswap/pancake-frontend,0c6014d72d09d8456a14b3979574943f194a1f3b,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4731ab85ec6dd4db908761409c3d9f783f4c18ea,copilot-pr
TypeScript,pancakeswap/pancake-frontend,ff9a0964f13757e5a10a054f2d12a4d21910acfe,copilot-pr
